date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:05:41	40195/40195	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:39%20GMT	http://mormonthink.com/essays-priesthood-and-women.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-priesthood-and-women.html	(from http://mormonthink.com/)
04:05:42	80044/80044	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:40%20GMT	http://mormonthink.com/essays-becoming-like-god.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-becoming-like-god.html	(from http://mormonthink.com/)
04:05:44	62371/62371	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:41%20GMT	http://mormonthink.com/essays-peace-and-violence.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-peace-and-violence.html	(from http://mormonthink.com/)
04:05:45	14633/14633	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:43%20GMT	http://mormonthink.com/essays-are-mormons-christian.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/essays-are-mormons-christian.html	(from http://mormonthink.com/)
04:05:47	67611/67611	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:45%20GMT	http://mormonthink.com/whatsnew.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/whatsnew.html	(from http://mormonthink.com/)
04:05:47	99413/99413	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:45%20GMT	http://mormonthink.com/news.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/news.html	(from http://mormonthink.com/)
04:05:48	13433/13433	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:45%20GMT	http://mormonthink.com/personalstories/jeremy-runnells.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/personalstories/jeremy-runnells.html	(from http://mormonthink.com/)
04:05:49	40769/40769	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:47%20GMT	http://mormonthink.com/glossary/court-of-love.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/court-of-love.html	(from http://mormonthink.com/)
04:05:50	17859/17859	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:49%20GMT	http://mormonthink.com/glossary/ballard-lipstick.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/ballard-lipstick.html	(from http://mormonthink.com/)
04:05:51	12980/12980	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:50%20GMT	http://mormonthink.com/map.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/map.html	(from http://mormonthink.com/)
04:05:52	14560/14560	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:51%20GMT	http://mormonthink.com/glossary/mormonthink-billboard.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/mormonthink-billboard.html	(from http://mormonthink.com/donations.htm)
04:05:52	17394/17394	---MC-	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:50%20GMT	http://mormonthink.com/contact.php	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/contact.html	(from http://mormonthink.com/)
04:05:52	18125/18125	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:52%20GMT	http://mormonthink.com/glossary/sacred-secret.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/sacred-secret.html	(from http://mormonthink.com/transbomweb.htm)
04:05:53	18070/18070	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:52%20GMT	http://mormonthink.com/glossary/scrying.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/scrying.html	(from http://mormonthink.com/transbomweb.htm)
04:05:54	14041/14041	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:53%20GMT	http://mormonthink.com/glossary/apologist.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/apologist.html	(from http://mormonthink.com/transbomweb.htm)
04:05:55	17237/17237	---M--	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202016%2009:05:54%20GMT	http://mormonthink.com/glossary/occult.htm	/home/bryce/mirrored_websites/mt_demo/mormonthink.com/glossary/occult.html	(from http://mormonthink.com/book-of-mormon-problems.htm)
